text,topic
"Could you show me what a solar eclipse looks like from space?", "image"
"I'd love to see a drawing of a child flying with balloons.", "image"
"Create an artistic representation of hope using colors and light.", "image"
"Can you illustrate a dream about flying over cities at night?", "image"
"Show me how ancient Rome might have looked in its glory.", "image"
"Create an image of a sunset over the sea.", "image"
"Generate a drawing of a flying dragon.", "image"
"I would like to see a portrait of a lion.", "image"
"Draw a snowy landscape with a small house.", "image"
"Can you create an image of a sleeping cat?", "image"
"I want an illustration of a robot in the future.", "image"
"Graphically represent a blooming garden.", "image"
"Can you show me a painting of a tropical forest?", "image"
"Generate an image of a space station.", "image"
"I would like a drawing of a medieval castle.", "image"
"Create an image of a sunset over the sea.", "image"
"Generate a drawing of a flying dragon.", "image"
"I would like to see a portrait of a lion.", "image"
"Draw a snowy landscape with a small house.", "image"
"Can you create an image of a sleeping cat?", "image"
"I want an illustration of a robot in the future.", "image"
"Graphically represent a blooming garden.", "image"
"Can you show me a picture of a tropical forest?", "image"
"Generate an image of a space station.", "image"
"I would like a drawing of a medieval castle.", "image"
"¿Cómo se vería una ciudad sumergida bajo el océano?", "image"
"Me encantaría ver una ilustración de un bosque encantado al amanecer.", "image"
"Imagínate un dragón descansando sobre una montaña nevada, ¿puedes dibujarlo?", "image"
"¿Puedes representar visualmente la paz interior?", "image"
"Genera una imagen de un futuro utópico con naturaleza y tecnología fusionadas.", "image"
"Crea una imagen de un atardecer sobre el mar.", "imagen"
"Genera un dibujo de un dragón volando.", "imagen"
"Me gustaría ver un retrato de un león.", "imagen"
"Dibuja un paisaje nevado con una pequeña casa.", "imagen"
"¿Puedes crear una imagen de un gato durmiendo?", "imagen"
"Quiero una ilustración de un robot en el futuro.", "imagen"
"Representa gráficamente un jardín en flor.", "imagen"
"¿Puedes mostrarme una pintura de una selva tropical?", "imagen"
"Genera una imagen de una estación espacial.", "imagen"
"Me gustaría un dibujo de un castillo medieval.", "imagen"
"Crea una imagen de una puesta de sol en la montaña.", "imagen"
"Genera un dibujo de una ballena nadando en el océano.", "imagen"
"Quiero ver un retrato de una familia feliz.", "imagen"
"Dibuja un paisaje urbano futurista.", "imagen"
"¿Puedes crear una imagen de un caballo corriendo?", "imagen"
"Ilustra un cuento de hadas con dragones y castillos.", "imagen"
"Genera una imagen de un amanecer en el desierto.", "imagen"
"Me gustaría una imagen de un barco pirata en alta mar.", "imagen"
"Crea una imagen de una ciudad bajo el agua.", "imagen"
"Dibuja un jardín secreto con flores mágicas.", "imagen"
"Resume en tres líneas esta noticia de expansión https://expansion.mx/economia/2025/07/17", "scraper"
"Resume este articulo en 3 lineas https://www.bbc.com/news/science-environment-123456", "scraper"
"Resume este reportaje de El Universal en 3 frases https://www.eluniversal.com.mx/nacion/", "scraper"
"Extrae los titulares de hoy del sitio de El País https://elpais.com/ultimas-noticias/", "scraper"
"Ve a la sección internacional de BBC Mundo y obtén las últimas noticias https://www.bbc.com/news", "scraper"
"Ingresa a Clarín y dime qué está pasando en economía https://www.clarin.com/economia", "scraper"
"Scrapea la portada de La Jornada y dame un resumen breve https://www.jornada.com.mx/", "scraper"
"Consulta El Financiero y extrae los artículos más leídos https://www.elfinanciero.com.mx/", "scraper"
"Summarize this LangChain documentation page in 3 lines https://python.langchain.com/docs/tutorials/summarization/", "scraper"
"Summarize this article in 3 lines https://www.bbc.com/news/science-environment-123456", "scraper"
"Summarize this cybersecurity article from Ars Technica https://arstechnica.com/information-technology/", "scraper"
"Scrape the technology section of The Verge and get the headlines https://www.theverge.com/tech", "scraper"
"Fetch top science news from National Geographic's homepage https://www.nationalgeographic.com/", "scraper"
"Visit Wired and summarize their latest cybersecurity article https://www.wired.com/category/security/", "scraper"
"Get trending articles from CNBC's front page https://www.cnbc.com", "scraper"
"Scrape Fox News politics section and return all article titles https://www.foxnews.com", "scraper"
"https://elpais.com/ultimas-noticias/ Extrae los titulares de hoy del sitio de El País", "scraper"
"https://www.bbc.com/news Ve a la sección internacional de BBC Mundo y obtén las últimas noticias", "scraper"
"https://www.clarin.com/economia Ingresa a Clarín y dime qué está pasando en economía", "scraper"
"https://www.jornada.com.mx/ Scrapea la portada de La Jornada y dame un resumen breve", "scraper"
"https://www.elfinanciero.com.mx/ Consulta El Financiero y extrae los artículos más leídos", "scraper"
"https://www.theverge.com/tech Scrape the technology section of The Verge and get the headlines", "scraper"
"https://www.nationalgeographic.com/ Fetch top science news from National Geographic's homepage", "scraper"
"https://www.wired.com/category/security/ Visit Wired and summarize their latest cybersecurity article", "scraper"
"https://www.cnbc.com Get trending articles from CNBC's front page", "scraper"
"https://www.foxnews.com Scrape Fox News politics section and return all article titles", "scraper"
"https://www.bbc.com/news", "scraper"
"https://edition.cnn.com", "scraper"
"https://www.reuters.com", "scraper"
"https://www.theguardian.com/international", "scraper"
"https://www.aljazeera.com", "scraper"
"https://www.forbes.com", "scraper"
"https://www.bloomberg.com", "scraper"
"https://www.nytimes.com", "scraper"
"https://www.washingtonpost.com", "scraper"
"https://www.ft.com", "scraper"
"https://www.wsj.com", "scraper"
"https://www.nbcnews.com", "scraper"
"https://www.cnbc.com", "scraper"
"https://www.foxnews.com", "scraper"
"https://www.abcnews.go.com", "scraper"
"https://www.usatoday.com", "scraper"
"https://www.latimes.com", "scraper"
"https://www.npr.org", "scraper"
"https://www.vox.com", "scraper"
"https://www.politico.com", "scraper"
"Search for the most recent Nobel Prize winners and their contributions.", "search"
"Find news on technological advancements in renewable energy.", "search"
"What are the latest discussions around cryptocurrency regulation?", "search"
"Look for recent studies about the effects of social media on teenagers.", "search"
"Search current data on space debris and satellite collision risks.", "search"
"Search for the latest news on climate change.", "search"
"Find the latest updates on the global energy crisis.", "search"
"Search for information about the Artemis space mission.", "search"
"Search for news about the US presidential elections.", "search"
"Find updates on the economic situation in Europe.", "search"
"Look for news on the volcanic eruption in Hawaii.", "search"
"What are the latest updates in the tech industry?", "search"
"Find out the most important news of the day.", "search"
"Search for news on new cancer treatments.", "search"
"Look for news on the discovery of new animal species.", "search"
"Search for information on the United Nations conference.", "search"
"Find news about the latest G7 summit.", "search"
"What are the latest updates on fiscal policies?", "search"
"Look for updates on Hollywood's film industry.", "search"
"Search for news on recent archaeological discoveries.", "search"
"Find information on social protests in France.", "search"
"Find updates on the refugee crisis in the Middle East.", "search"
"Search for news on advancements in nuclear fusion.", "search"
